syndrome_key_uint24,size,members
143922,1,C:cnot20:YY
144950,1,C:cnot19:YZ
152146,1,C:cnot09:XZ
153174,1,C:cnot16:XZ
168080,1,C:cnot19:ZX
173734,1,C:cnot19:YY
181958,1,C:cnot16:XY
278592,1,C:cnot15:ZX
299152,1,C:cnot16:ZX
312516,1,C:cnot15:YZ
444102,1,C:cnot16:YY
1184274,1,C:cnot10:YY
1200722,1,C:cnot09:XY
1245955,1,C:cnot10:ZX
1250067,1,C:cnot10:YX
1311748,1,C:cnot09:ZX
1463894,1,C:cnot09:YY
2401444,1,C:cnot02:YZ
2533030,1,C:cnot02:XZ
8520194,1,C:cnot02:ZX
8684676,1,C:cnot01:XY
9178124,1,C:cnot01:ZX
9211020,1,C:cnot01:YX
10526880,1,C:cnot02:XX
10658466,1,C:cnot02:YX
10790052,1,C:cnot02:YY
10921638,1,C:cnot02:XY
