cnot_idx,stab_type,stab_index,control,target,pauli,syndrome_bits,conflict_size,conflict_cnots
4,Z,1,2,10,XZ,0000010001000000,2,4|15
5,Z,1,5,10,XZ,0001000001000000,2,5|9
6,Z,2,3,11,XZ,0000001010100000,2,6|18
7,Z,2,6,11,XZ,0000000000100000,1,7
8,Z,3,4,12,XZ,0000011010010000,2,8|16
9,Z,3,5,12,XZ,0000001001010000,1,9
10,Z,3,7,12,XZ,0000000100010000,3,10|11|23
11,Z,3,8,12,XZ,0000000000010000,3,11|21|23
12,X,0,13,0,XZ,0000000010001000,1,12
13,X,0,13,1,XZ,0000010000001000,2,13|14
14,X,1,14,1,XZ,0000000010001100,1,14
15,X,1,14,2,XZ,0000000011000100,1,15
16,X,1,14,4,XZ,0000001001010100,1,16
17,X,1,14,5,XZ,0000000000000100,1,17
18,X,2,15,3,XZ,0000000010100010,1,18
19,X,2,15,4,XZ,0000000000110110,1,19
20,X,2,15,6,XZ,0000000000010010,1,20
21,X,2,15,7,XZ,0000000100000010,2,21|22
22,X,3,16,7,XZ,0000000000010011,1,22
23,X,3,16,8,XZ,0000000000000001,1,23
0,Z,0,0,9,YX,1000100000000000,2,0|1
1,Z,0,1,9,YX,1000110000000000,1,1
2,Z,0,3,9,YX,1010001000000000,1,2
3,Z,0,4,9,YX,1001011000000000,1,3
4,Z,1,2,10,YX,0100010000000000,1,4
5,Z,1,5,10,YX,0101010000000000,1,5
6,Z,2,3,11,YX,0010001010000000,1,6
7,Z,2,6,11,YX,0010001000000000,1,7
8,Z,3,4,12,YX,0001011010000000,2,3|8
9,Z,3,5,12,YX,0001010001000000,2,5|9
10,Z,3,7,12,YX,0001001100000000,1,10
11,Z,3,8,12,YX,0001000100000000,2,10|11
12,X,0,13,0,YX,0000100000001000,1,12
13,X,0,13,1,YX,0000100010001000,2,12|13
14,X,1,14,1,YX,0000010000000100,1,14
15,X,1,14,2,YX,0000010010000100,2,14|15
16,X,1,14,4,YX,0000010011000100,1,16
17,X,1,14,5,YX,0000010001010100,1,17
18,X,2,15,3,YX,0000001000000010,1,18
19,X,2,15,4,YX,0000001010100010,2,18|19
20,X,2,15,6,YX,0000001000110010,1,20
21,X,2,15,7,YX,0000001000010010,1,21
22,X,3,16,7,YX,0000000100000001,1,22
23,X,3,16,8,YX,0000000100010001,2,22|23
0,Z,0,0,9,YY,1000000000000000,2,0|1
1,Z,0,1,9,YY,1000100000000000,2,0|1
2,Z,0,3,9,YY,1010010000000000,1,2
3,Z,0,4,9,YY,1001011000000000,1,3
4,Z,1,2,10,YY,0100000000000000,1,4
5,Z,1,5,10,YY,0101010000000000,1,5
6,Z,2,3,11,YY,0010000010000000,1,6
7,Z,2,6,11,YY,0010001000000000,1,7
8,Z,3,4,12,YY,0001000010000000,2,3|8
9,Z,3,5,12,YY,0001011001000000,1,9
10,Z,3,7,12,YY,0001001000000000,1,10
11,Z,3,8,12,YY,0001000100000000,2,10|11
12,X,0,13,0,YY,0000100000000000,2,1|12
13,X,0,13,1,YY,0000110010000000,1,13
14,X,1,14,1,YY,0000010000001000,2,13|14
15,X,1,14,2,YY,0000010010000000,2,1|15
16,X,1,14,4,YY,0000011011000000,1,16
17,X,1,14,5,YY,0000010001010000,1,17
18,X,2,15,3,YY,0000001000000000,4,7|10|18|20
19,X,2,15,4,YY,0000001010100100,1,19
20,X,2,15,6,YY,0000001000110000,1,20
21,X,2,15,7,YY,0000001100010000,1,21
22,X,3,16,7,YY,0000000100000010,2,21|22
23,X,3,16,8,YY,0000000100010000,3,10|11|23
0,Z,0,0,9,YZ,0000000010000000,3,0|13|15
1,Z,0,1,9,YZ,0000100010000000,3,0|1|12
2,Z,0,3,9,YZ,0010010010000000,1,2
3,Z,0,4,9,YZ,0001011010000000,2,3|8
4,Z,1,2,10,YZ,0000000001000000,1,4
5,Z,1,5,10,YZ,0001010001000000,2,5|9
6,Z,2,3,11,YZ,0000000010100000,2,6|19
7,Z,2,6,11,YZ,0000001000100000,2,7|20
8,Z,3,4,12,YZ,0000000010010000,1,8
9,Z,3,5,12,YZ,0000011001010000,2,9|16
10,Z,3,7,12,YZ,0000001000010000,2,10|20
11,Z,3,8,12,YZ,0000000100010000,3,10|11|23
12,X,0,13,0,YZ,0000100010000000,3,0|1|12
13,X,0,13,1,YZ,0000110000000000,1,13
14,X,1,14,1,YZ,0000010010001000,2,13|14
15,X,1,14,2,YZ,0000010011000000,1,15
16,X,1,14,4,YZ,0000011001010000,2,9|16
17,X,1,14,5,YZ,0000010000000000,4,2|5|15|17
18,X,2,15,3,YZ,0000001010100000,2,6|18
19,X,2,15,4,YZ,0000001000110100,1,19
20,X,2,15,6,YZ,0000001000010000,2,10|20
21,X,2,15,7,YZ,0000001100000000,1,21
22,X,3,16,7,YZ,0000000100010010,2,21|22
23,X,3,16,8,YZ,0000000100000000,2,11|23
0,Z,0,0,9,ZX,1000100010000000,2,0|1
1,Z,0,1,9,ZX,1000110010000000,1,1
2,Z,0,3,9,ZX,1000001010000000,1,2
3,Z,0,4,9,ZX,1000011010000000,1,3
4,Z,1,2,10,ZX,0100010001000000,2,4|5
5,Z,1,5,10,ZX,0100010001000000,2,4|5
6,Z,2,3,11,ZX,0010001000100000,2,6|7
7,Z,2,6,11,ZX,0010001000100000,2,6|7
8,Z,3,4,12,ZX,0001011000010000,2,8|9
9,Z,3,5,12,ZX,0001010000010000,1,9
10,Z,3,7,12,ZX,0001001100010000,1,10
11,Z,3,8,12,ZX,0001000100010000,1,11
12,X,0,13,0,ZX,0000100010001000,2,12|13
13,X,0,13,1,ZX,0000100010001000,2,12|13
14,X,1,14,1,ZX,0000010010000100,2,14|15
15,X,1,14,2,ZX,0000010001000100,1,15
16,X,1,14,4,ZX,0000010010010100,1,16
17,X,1,14,5,ZX,0000010001010100,1,17
18,X,2,15,3,ZX,0000001010100010,2,18|19
19,X,2,15,4,ZX,0000001010010010,1,19
20,X,2,15,6,ZX,0000001000100010,1,20
21,X,2,15,7,ZX,0000001000010010,1,21
22,X,3,16,7,ZX,0000000100010001,2,22|23
23,X,3,16,8,ZX,0000000100010001,2,22|23
0,Z,0,0,9,ZY,1000000010000000,1,0
1,Z,0,1,9,ZY,1000100010000000,2,0|1
2,Z,0,3,9,ZY,1000010010000000,1,2
3,Z,0,4,9,ZY,1000011010000000,1,3
4,Z,1,2,10,ZY,0100000001000000,1,4
5,Z,1,5,10,ZY,0100010001000000,2,4|5
6,Z,2,3,11,ZY,0010000000100000,1,6
7,Z,2,6,11,ZY,0010001000100000,2,6|7
8,Z,3,4,12,ZY,0001000000010000,1,8
9,Z,3,5,12,ZY,0001011000010000,2,8|9
10,Z,3,7,12,ZY,0001001000010000,1,10
11,Z,3,8,12,ZY,0001000100010000,1,11
12,X,0,13,0,ZY,0000100010000000,3,0|1|12
13,X,0,13,1,ZY,0000110010000000,1,13
14,X,1,14,1,ZY,0000010010001000,2,13|14
15,X,1,14,2,ZY,0000010001000000,2,4|15
16,X,1,14,4,ZY,0000011010010000,2,8|16
17,X,1,14,5,ZY,0000010001010000,1,17
18,X,2,15,3,ZY,0000001010100000,2,6|18
19,X,2,15,4,ZY,0000001010010100,1,19
20,X,2,15,6,ZY,0000001000100000,2,7|20
21,X,2,15,7,ZY,0000001100010000,1,21
22,X,3,16,7,ZY,0000000100010010,2,21|22
23,X,3,16,8,ZY,0000000100010000,3,10|11|23
0,Z,0,0,9,ZZ,0000000000000000,8,0|4|6|8|12|14|18|22
1,Z,0,1,9,ZZ,0000100000000000,2,1|12
2,Z,0,3,9,ZZ,0000010000000000,4,2|5|15|17
3,Z,0,4,9,ZZ,0000011000000000,3,3|9|16
4,Z,1,2,10,ZZ,0000000000000000,8,0|4|6|8|12|14|18|22
5,Z,1,5,10,ZZ,0000010000000000,4,2|5|15|17
6,Z,2,3,11,ZZ,0000000000000000,8,0|4|6|8|12|14|18|22
7,Z,2,6,11,ZZ,0000001000000000,4,7|10|18|20
8,Z,3,4,12,ZZ,0000000000000000,8,0|4|6|8|12|14|18|22
9,Z,3,5,12,ZZ,0000011000000000,3,3|9|16
10,Z,3,7,12,ZZ,0000001000000000,4,7|10|18|20
11,Z,3,8,12,ZZ,0000000100000000,2,11|23
12,X,0,13,0,ZZ,0000100000000000,2,1|12
13,X,0,13,1,ZZ,0000110000000000,1,13
14,X,1,14,1,ZZ,0000010000001000,2,13|14
15,X,1,14,2,ZZ,0000010000000000,4,2|5|15|17
16,X,1,14,4,ZZ,0000011000000000,3,3|9|16
17,X,1,14,5,ZZ,0000010000000000,4,2|5|15|17
18,X,2,15,3,ZZ,0000001000000000,4,7|10|18|20
19,X,2,15,4,ZZ,0000001000000100,1,19
20,X,2,15,6,ZZ,0000001000000000,4,7|10|18|20
21,X,2,15,7,ZZ,0000001100000000,1,21
22,X,3,16,7,ZZ,0000000100000010,2,21|22
23,X,3,16,8,ZZ,0000000100000000,2,11|23
