cnot_idx,stab_type,stab_index,control,target,pauli,syndrome_bits,conflict_size,conflict_cnots
17,X,1,14,5,YZ,000001000000010000000100,4,2|5|15|17
18,X,2,15,3,YZ,000000101010001010100010,2,6|18
19,X,2,15,4,YZ,000000100011011000110110,1,19
20,X,2,15,6,YZ,000000100001001000010010,2,10|20
21,X,2,15,7,YZ,000000110000001100000011,1,21
22,X,3,16,7,YZ,000000010001001100010011,2,21|22
23,X,3,16,8,YZ,000000010000000100000001,2,11|23
0,Z,0,0,9,ZX,100010000000100000001000,2,0|1
1,Z,0,1,9,ZX,100011000000110000001100,1,1
2,Z,0,3,9,ZX,100000100000001000000010,1,2
3,Z,0,4,9,ZX,100001100000011000000110,1,3
4,Z,1,2,10,ZX,010001000000010000000100,2,4|5
5,Z,1,5,10,ZX,010001000000010000000100,2,4|5
6,Z,2,3,11,ZX,001000100000001000000010,2,6|7
7,Z,2,6,11,ZX,001000100000001000000010,2,6|7
8,Z,3,4,12,ZX,000101100000011000000110,2,8|9
9,Z,3,5,12,ZX,000101000000010000000100,1,9
10,Z,3,7,12,ZX,000100110000001100000011,1,10
11,Z,3,8,12,ZX,000100010000000100000001,1,11
12,X,0,13,0,ZX,000010001000000010000000,2,12|13
13,X,0,13,1,ZX,000010001000000010000000,2,12|13
14,X,1,14,1,ZX,000001001000000010000000,2,14|15
15,X,1,14,2,ZX,000001000100000001000000,1,15
16,X,1,14,4,ZX,000001001001000010010000,1,16
17,X,1,14,5,ZX,000001000101000001010000,1,17
18,X,2,15,3,ZX,000000101010000010100000,2,18|19
19,X,2,15,4,ZX,000000101001000010010000,1,19
20,X,2,15,6,ZX,000000100010000000100000,1,20
21,X,2,15,7,ZX,000000100001000000010000,1,21
22,X,3,16,7,ZX,000000010001000000010000,2,22|23
23,X,3,16,8,ZX,000000010001000000010000,2,22|23
0,Z,0,0,9,ZY,100000000000000000000000,1,0
1,Z,0,1,9,ZY,100010000000100000001000,2,0|1
2,Z,0,3,9,ZY,100001000000010000000100,1,2
3,Z,0,4,9,ZY,100001100000011000000110,1,3
4,Z,1,2,10,ZY,010000000000000000000000,1,4
5,Z,1,5,10,ZY,010001000000010000000100,2,4|5
6,Z,2,3,11,ZY,001000000000000000000000,1,6
7,Z,2,6,11,ZY,001000100000001000000010,2,6|7
8,Z,3,4,12,ZY,000100000000000000000000,1,8
9,Z,3,5,12,ZY,000101100000011000000110,2,8|9
