error,mode,syndrome_r0,syndrome_r1,syndrome_r2
C:cnot07:IX,reset,00100000,00000000,00000000
C:cnot07:IX,noreset,00100000,00100000,00100000
C:cnot07:IY,reset,00100000,00000000,00000000
C:cnot07:IY,noreset,00100000,00100000,00100000
C:cnot07:IZ,reset,00000000,00000000,00000000
C:cnot07:IZ,noreset,00000000,00000000,00000000
C:cnot07:XI,reset,00000000,00100000,00100000
C:cnot07:XI,noreset,00000000,00100000,00000000
C:cnot07:XX,reset,00100000,00100000,00100000
C:cnot07:XX,noreset,00100000,00000000,00100000
C:cnot07:XY,reset,00100000,00100000,00100000
C:cnot07:XY,noreset,00100000,00000000,00100000
C:cnot07:XZ,reset,00000000,00100000,00100000
C:cnot07:XZ,noreset,00000000,00100000,00000000
C:cnot07:YI,reset,00000010,00100010,00100010
C:cnot07:YI,noreset,00000010,00100000,00000010
C:cnot07:YX,reset,00100010,00100010,00100010
C:cnot07:YX,noreset,00100010,00000000,00100010
C:cnot07:YY,reset,00100010,00100010,00100010
C:cnot07:YY,noreset,00100010,00000000,00100010
C:cnot07:YZ,reset,00000010,00100010,00100010
C:cnot07:YZ,noreset,00000010,00100000,00000010
C:cnot07:ZI,reset,00000010,00000010,00000010
C:cnot07:ZI,noreset,00000010,00000000,00000010
C:cnot07:ZX,reset,00100010,00000010,00000010
C:cnot07:ZX,noreset,00100010,00100000,00100010
C:cnot07:ZY,reset,00100010,00000010,00000010
C:cnot07:ZY,noreset,00100010,00100000,00100010
C:cnot07:ZZ,reset,00000010,00000010,00000010
C:cnot07:ZZ,noreset,00000010,00000000,00000010
C:cnot08:IX,reset,00010000,00000000,00000000
C:cnot08:IX,noreset,00010000,00010000,00010000
C:cnot08:IY,reset,00010110,00000110,00000110
C:cnot08:IY,noreset,00010110,00010000,00010110
C:cnot08:IZ,reset,00000110,00000110,00000110
C:cnot08:IZ,noreset,00000110,00000000,00000110
C:cnot08:XI,reset,00000000,10010000,10010000
C:cnot08:XI,noreset,00000000,10010000,00000000
C:cnot08:XX,reset,00010000,10010000,10010000
C:cnot08:XX,noreset,00010000,10000000,00010000
C:cnot08:XY,reset,00010110,10010110,10010110
C:cnot08:XY,noreset,00010110,10000000,00010110
C:cnot08:XZ,reset,00000110,10010110,10010110
C:cnot08:XZ,noreset,00000110,10010000,00000110
C:cnot08:YI,reset,00000110,10010110,10010110
C:cnot08:YI,noreset,00000110,10010000,00000110
C:cnot08:YX,reset,00010110,10010110,10010110
C:cnot08:YX,noreset,00010110,10000000,00010110
C:cnot08:YY,reset,00010000,10010000,10010000
C:cnot08:YY,noreset,00010000,10000000,00010000
C:cnot08:YZ,reset,00000000,10010000,10010000
C:cnot08:YZ,noreset,00000000,10010000,00000000
C:cnot08:ZI,reset,00000110,00000110,00000110
C:cnot08:ZI,noreset,00000110,00000000,00000110
C:cnot08:ZX,reset,00010110,00000110,00000110
C:cnot08:ZX,noreset,00010110,00010000,00010110
C:cnot08:ZY,reset,00010000,00000000,00000000
C:cnot08:ZY,noreset,00010000,00010000,00010000
C:cnot08:ZZ,reset,00000000,00000000,00000000
C:cnot08:ZZ,noreset,00000000,00000000,00000000
C:cnot09:IX,reset,00010000,00000000,00000000
C:cnot09:IX,noreset,00010000,00010000,00010000
C:cnot09:IY,reset,00010010,00000010,00000010
C:cnot09:IY,noreset,00010010,00010000,00010010
C:cnot09:IZ,reset,00000010,00000010,00000010
C:cnot09:IZ,noreset,00000010,00000000,00000010
C:cnot09:XI,reset,00000000,01010000,01010000
C:cnot09:XI,noreset,00000000,01010000,00000000
C:cnot09:XX,reset,00010000,01010000,01010000
C:cnot09:XX,noreset,00010000,01000000,00010000
