global_id,conflict_size,pauli,cnot_idx,stab_type,stab_index,control,target,syndrome_bits
92,1,ZY,10,Z,3,7,12,0001001000010000
93,1,XY,9,Z,3,5,12,0001001001000000
94,1,YX,10,Z,3,7,12,0001001100000000
95,1,ZX,10,Z,3,7,12,0001001100010000
96,1,ZX,9,Z,3,5,12,0001010000010000
97,1,YY,9,Z,3,5,12,0001011001000000
98,1,XX,7,Z,2,6,11,0010000000000000
98,1,XY,7,Z,2,6,11,0010000000000000
99,1,ZY,6,Z,2,3,11,0010000000100000
100,1,XX,6,Z,2,3,11,0010000010000000
100,1,YY,6,Z,2,3,11,0010000010000000
101,1,YX,7,Z,2,6,11,0010001000000000
101,1,YY,7,Z,2,6,11,0010001000000000
102,1,XY,6,Z,2,3,11,0010001010000000
102,1,YX,6,Z,2,3,11,0010001010000000
103,1,YZ,2,Z,0,3,9,0010010010000000
104,1,XZ,2,Z,0,3,9,0010011010000000
105,1,XX,4,Z,1,2,10,0100000000000000
105,1,YY,4,Z,1,2,10,0100000000000000
106,1,ZY,4,Z,1,2,10,0100000001000000
107,1,XY,4,Z,1,2,10,0100010000000000
107,1,YX,4,Z,1,2,10,0100010000000000
108,1,XX,5,Z,1,5,10,0101000000000000
108,1,XY,5,Z,1,5,10,0101000000000000
109,1,YX,5,Z,1,5,10,0101010000000000
109,1,YY,5,Z,1,5,10,0101010000000000
110,1,ZY,0,Z,0,0,9,1000000010000000
111,1,ZX,2,Z,0,3,9,1000001010000000
112,1,XY,1,Z,0,1,9,1000010000000000
113,1,ZY,2,Z,0,3,9,1000010010000000
114,1,ZX,3,Z,0,4,9,1000011010000000
114,1,ZY,3,Z,0,4,9,1000011010000000
115,1,YX,1,Z,0,1,9,1000110000000000
116,1,ZX,1,Z,0,1,9,1000110010000000
117,1,XX,3,Z,0,4,9,1001000000000000
117,1,XY,3,Z,0,4,9,1001000000000000
118,1,YX,3,Z,0,4,9,1001011000000000
118,1,YY,3,Z,0,4,9,1001011000000000
119,1,XX,2,Z,0,3,9,1010000000000000
120,1,YX,2,Z,0,3,9,1010001000000000
121,1,YY,2,Z,0,3,9,1010010000000000
122,1,XY,2,Z,0,3,9,1010011000000000
